"subjIndx","trial_RT","trial_blockType","trial_response","trial_limbside","trial_randSOA","trial_correct","trial_int","trial_actualIntensity","trial_crossed_legs","trial_crossed_hand",
32,0.69076,2,1,2,1.1465,1,1,0.12061,1,0,
32,0.57758,2,1,2,1.6311,1,2,0.3477,1,0,
32,0.68917,2,1,2,1.8593,1,1,0.12661,1,0,
32,0.58322,2,2,1,1.9742,1,1,0.23043,1,0,
32,0.46731,2,2,1,1.5708,1,1,0.22649,1,0,
32,0.54038,2,1,2,1.9969,1,1,0.12666,1,0,
32,0.61482,2,1,2,1.5535,1,2,0.36766,1,0,
32,0.34088,2,1,2,1.5155,1,2,0.35913,1,0,
32,0.36447,2,1,2,1.3307,1,1,0.12517,1,0,
32,0.29552,2,1,2,1.43,1,2,0.36248,1,0,
32,0.31228,2,1,2,1.4918,1,2,0.36337,1,0,
32,0.68056,2,2,1,1.071,1,2,0.69846,1,0,
32,0.50175,2,2,1,1.8877,1,2,0.67375,1,0,
32,0.50211,2,2,1,1.0646,1,2,0.6639,1,0,
32,0.34633,2,2,1,1.4362,1,2,0.69038,1,0,
32,0.48899,2,1,2,1.8266,1,1,0.12557,1,0,
32,0.48692,2,1,2,1.3945,1,2,0.35726,1,0,
32,0.4387,2,1,2,1.6135,1,1,0.11512,1,0,
32,0.85386,2,2,1,1.8186,1,2,0.67972,1,0,
32,0.5818,2,2,1,1.8862,1,1,0.22286,1,0,
32,0.45018,2,2,1,1.9311,1,1,0.22547,1,0,
32,0.46697,2,1,2,1.1908,1,2,0.37525,1,0,
32,0.58422,2,1,2,1.2586,1,1,0.11904,1,0,
32,0.49817,2,2,1,1.8979,1,2,0.67554,1,0,
32,0.50732,2,1,2,1.5934,1,2,0.35536,1,0,
32,0.67215,2,1,2,1.5038,1,1,0.11549,1,0,
32,0.63056,2,1,2,1.6128,1,1,0.11709,1,0,
32,0.63427,2,2,1,1.8194,1,1,0.21745,1,0,
32,0.55641,2,1,2,1.5319,1,2,0.3582,1,0,
32,0.79113,2,2,1,1.2021,1,1,0.22176,1,0,
32,0.48523,2,1,2,1.4539,1,2,0.3528,1,0,
32,0.49888,2,2,1,1.4279,1,1,0.22608,1,0,
32,0.44858,2,1,2,1.9661,1,1,0.11521,1,0,
32,0.72097,2,1,2,1.6201,1,1,0.1203,1,0,
32,0.50851,2,2,1,1.6954,1,2,0.70058,1,0,
32,0.62056,2,1,2,1.7202,1,2,0.35061,1,0,
32,NaN,2,0,1,1.3469,NaN,2,0.70696,1,0,
32,0.55897,2,1,2,1.517,1,1,0.11461,1,0,
32,NaN,2,0,1,1.5567,NaN,2,0.67582,1,0,
32,0.92929,2,1,2,1.1565,1,1,0.11368,1,0,
32,0.53106,2,2,1,1.5621,1,1,0.22083,1,0,
32,0.45324,2,1,2,1.6948,1,2,0.34097,1,0,
32,0.70949,2,1,2,1.4265,1,1,0.11614,1,0,
32,0.45322,2,1,2,1.8363,1,1,0.11552,1,0,
32,0.53597,2,1,2,1.7314,1,1,0.1172,1,0,
32,0.47472,2,2,1,1.36,1,1,0.21967,1,0,
32,0.51245,2,2,1,1.4542,1,2,0.65625,1,0,
32,0.52429,2,1,2,1.3864,1,1,0.12175,1,0,
32,0.50766,2,2,1,1.7756,1,2,0.71646,1,0,
32,0.48326,2,1,2,1.7343,1,1,0.12662,1,0,
32,0.47857,2,2,1,1.4303,1,2,0.66252,1,0,
32,0.60251,2,1,2,1.6938,1,1,0.12013,1,0,
32,0.46352,2,2,1,1.9452,1,1,0.22481,1,0,
32,0.58216,2,2,1,1.7842,1,2,0.68601,1,0,
32,0.51671,2,1,2,1.7056,1,2,0.35147,1,0,
32,0.50298,2,2,1,1.1093,1,2,0.65096,1,0,
32,0.54328,2,1,1,1.3899,0,1,0.22638,1,0,
32,0.63526,2,1,2,1.5909,1,2,0.34781,1,0,
32,0.47201,2,1,2,1.4594,1,2,0.34194,1,0,
32,0.54175,2,2,1,1.0503,1,2,0.7209,1,0,
32,1.454,2,2,1,1.2287,1,1,0.22623,1,0,
32,0.51985,2,2,1,1.8342,1,2,0.72147,1,0,
32,0.55858,2,1,2,1.0156,1,1,0.12407,1,0,
32,0.43974,2,1,2,1.8637,1,2,0.34121,1,0,
32,0.85275,2,2,1,1.0781,1,1,0.23282,1,0,
32,0.56801,2,2,1,1.669,1,2,0.70055,1,0,
32,0.48418,2,2,1,1.5002,1,1,0.23189,1,0,
32,0.43551,2,2,1,1.218,1,1,0.22942,1,0,
32,0.43719,2,2,1,1.5716,1,2,0.66228,1,0,
32,0.44207,2,2,1,1.1222,1,1,0.23531,1,0,
32,0.51907,2,1,2,1.6712,1,2,0.34999,1,0,
32,1.6177,2,1,1,1.5996,0,2,0.67404,1,0,
32,1.2345,2,2,1,1.056,1,1,0.23854,1,0,
32,0.37552,2,2,1,1.0563,1,2,0.71278,1,0,
32,0.53148,2,1,2,1.1525,1,1,0.11903,1,0,
32,1.4696,2,2,1,1.0196,1,1,0.22332,1,0,
32,1.4238,2,2,1,1.4352,1,1,0.23091,1,0,
32,0.55507,2,1,2,1.8322,1,2,0.37858,1,0,
32,0.41463,2,1,2,1.6174,1,2,0.37853,1,0,
32,0.59717,2,2,1,1.5201,1,2,0.69138,1,0,
32,0.40531,2,1,2,1.8639,1,2,0.35423,1,0,
32,0.594,2,2,1,1.0977,1,1,0.2375,1,0,
32,0.78542,2,2,1,1.9081,1,2,0.67961,1,0,
32,0.46514,2,1,2,1.108,1,2,0.37833,1,0,
32,0.49456,2,1,2,1.517,1,1,0.11407,1,0,
32,0.52731,2,1,2,1.1432,1,2,0.36247,1,0,
32,1.2499,2,2,1,1.5594,1,1,0.2338,1,0,
32,0.5702,2,1,2,1.0046,1,1,0.11601,1,0,
32,0.60311,2,2,1,1.7667,1,2,0.67138,1,0,
32,0.57744,2,2,1,1.8487,1,2,0.65997,1,0,
32,0.51836,2,1,2,1.9168,1,2,0.35379,1,0,
32,1.5411,2,2,1,1.987,1,1,0.22553,1,0,
32,0.52721,2,2,1,1.5051,1,1,0.22932,1,0,
32,0.43879,2,2,1,1.2714,1,1,0.2165,1,0,
32,0.58503,2,1,2,1.1008,1,2,0.36332,1,0,
32,0.68349,2,2,1,1.5078,1,2,0.66662,1,0,
32,1.8295,2,2,2,1.5856,0,1,0.11684,1,0,
32,0.53442,2,1,2,1.7629,1,2,0.3506,1,0,
32,1.1447,2,1,1,1.083,0,1,0.21914,1,0,
32,0.51817,2,1,2,1.6616,1,1,0.12687,1,0,
32,0.78312,2,1,1,1.3209,1,2,0.68876,1,1,
32,0.52581,2,2,2,1.5114,1,1,0.12398,1,1,
32,1.3255,2,2,2,1.0606,1,2,0.38232,1,1,
32,0.60378,2,1,2,1.7257,0,2,0.38087,1,1,
32,0.43379,2,1,2,1.5566,0,2,0.36258,1,1,
32,0.4474,2,2,2,1.5294,1,1,0.12698,1,1,
32,0.3242,2,2,2,1.83,1,1,0.11516,1,1,
32,0.41897,2,2,2,1.8588,1,2,0.34294,1,1,
32,0.75598,2,1,1,1.789,1,1,0.22296,1,1,
32,0.86703,2,2,2,1.3178,1,1,0.12149,1,1,
32,0.76051,2,1,1,1.4522,1,2,0.68657,1,1,
32,0.6514,2,1,1,1.7522,1,1,0.23882,1,1,
32,0.53585,2,2,2,1.1099,1,2,0.36281,1,1,
32,0.80873,2,2,2,1.1097,1,2,0.3583,1,1,
32,0.74064,2,2,2,1.2699,1,2,0.3629,1,1,
32,0.5658,2,1,1,1.5246,1,1,0.23369,1,1,
32,0.6121,2,2,2,1.9727,1,2,0.34157,1,1,
32,0.62402,2,2,2,1.7104,1,2,0.37385,1,1,
32,0.47263,2,2,1,1.3119,0,2,0.65655,1,1,
32,0.71616,2,2,2,1.2915,1,1,0.12008,1,1,
32,0.54364,2,1,2,1.8504,0,2,0.35115,1,1,
32,0.57662,2,1,1,1.9116,1,1,0.22463,1,1,
32,0.80176,2,1,1,1.6393,1,1,0.23233,1,1,
32,0.4391,2,1,1,1.2554,1,2,0.6586,1,1,
32,0.42481,2,1,1,1.0887,1,2,0.66693,1,1,
32,0.52179,2,2,2,1.8383,1,2,0.34879,1,1,
32,0.52571,2,2,2,1.5847,1,1,0.11622,1,1,
32,0.70349,2,2,1,1.9481,0,1,0.22354,1,1,
